Iteration;Stock price;Amount available
131;129.6705294382;21016
132;156.7765012646;21007
133;134.0442510124;21007
134;113.4931178924;21007
135;112.5120445212;21027
136;123.7367487414;21037
137;106.1854068361;21037
138;94.5532948116;21037
139;102.0461772398;21076
140;87.2640884706;21076
141;107.0329364620;21078
142;131.6573741044;21077
143;118.8511829371;21077
144;105.0189124851;21077
145;141.7157860179;21055
146;157.6759749311;21024
147;134.1323415323;21024
148;106.4693086707;21024
149;130.0326452214;20992
150;118.2491910155;20992
151;129.7147143693;20993
152;155.8053701335;20992
153;136.7099970900;20992
154;116.3065419485;20992
155;127.8859095059;21014
156;157.0502087846;20985
157;135.4716122901;20985
158;120.0321002926;20985
159;145.1517609940;20967
160;125.4395556546;20967
161;134.2848910368;20968
162;119.9959236346;20968
163;102.9639877522;20968
164;93.6105255471;20968
165;127.7401940104;20941
166;156.2102637936;20922
167;143.2827446401;20922
168;122.5095253638;20922
169;135.0330638360;20940
170;115.5346183451;20940
171;111.0870062037;20940
172;107.4260315253;20985
173;91.8242784896;20985
174;78.6690164017;20985
175;92.6630447788;21012
176;104.1671817013;21007
177;114.5885886758;21097
178;140.1898869236;21094
179;189.8634056701;21079
180;162.7475907243;21079
181;138.7024230486;21079
182;133.9689857234;21104
183;107.7609534867;21104
184;93.9256058340;21104
185;114.2171769500;21082
186;137.1183218478;21079
187;167.2627609612;21011
188;203.0051970196;20997
189;235.3700924371;20996
190;201.2414271742;20996
191;172.0614134722;20996
192;189.4546298472;21013
193;157.4793764595;21013
194;134.9239993196;21013
195;114.8182478176;21013
196;121.3077060292;21042
197;137.3898055011;21110
198;165.0189179605;21109
199;188.7115240408;21126
200;161.7566725386;21126
201;150.0939975553;21126
202;166.2389260046;21128
203;144.8361807193;21128
204;124.0594170239;21128
205;98.0657808675;21128
206;109.4783114832;21144
207;139.2711986977;21069
208;167.8527928152;21068
209;214.6428080266;21052
210;196.1016776743;21052
211;176.7401266921;21052
212;188.8134812777;21054
213;161.4250358454;21054
214;137.4853416795;21054
215;107.8501238573;21054
216;126.2463017611;21086
217;103.6153915632;21086
218;124.4565392415;21096
219;127.2536043036;21111
220;96.4380070359;21111
221;78.5775123456;21111
222;86.4364064429;21112
223;74.1166663861;21112
224;63.3353861458;21112
225;74.2159649943;21133
226;92.8334957960;21078
227;103.9642604511;21152
228;126.0579682196;21144
229;154.7242330361;21129
230;131.6552474079;21129
231;115.2816701956;21129
232;98.5673270132;21129
233;84.2165172304;21129
234;78.3852228051;21129
235;94.9758695717;21112
236;116.0896405381;21085
237;141.8794160346;21026
238;189.8584310186;21025
239;198.7453994897;21026
240;169.6519864927;21026
