Iteration;Stock price;Amount available
0;93.9650006704;69683
1;82.7145977886;69683
2;87.7616135420;69651
3;109.8951659162;69554
4;133.8798392864;69548
5;164.8967062012;69533
6;204.4254951560;69401
7;255.8784581644;69373
8;315.7788022229;69361
9;384.0918668336;69354
10;462.9940344856;69334
11;560.0634355708;69328
12;669.1372300193;69327
13;803.4370193246;69325
14;1015.5628543645;69324
15;877.3399155016;69324
16;768.8106398448;69324
17;942.4938044005;69326
18;1103.0663649039;69322
19;1326.2015201625;69321
20;1593.4387403307;69320
21;1345.7047305326;69320
22;1480.1453476547;69321
23;1278.4059732090;69321
24;1406.3592783800;69323
25;1218.4787365860;69323
26;1065.8858838179;69323
27;1179.0181385657;69337
28;1421.9149223840;69334
29;1225.7698890662;69334
30;1365.8893796723;69336
31;1164.8065233145;69336
32;996.0209205905;69336
33;1157.0234881398;69350
34;1440.3264614853;69349
35;1244.8128674251;69349
36;1062.4196163400;69349
37;1180.0014036297;69351
38;1253.3416245950;69350
39;1067.2092493809;69350
40;1280.2994498607;69353
41;1112.5253561043;69353
42;997.6814162029;69353
43;1059.1343871117;69367
44;1262.1857173905;69366
45;1071.7149450612;69366
46;992.9425447379;69366
47;1088.7177697253;69367
48;1222.2984833563;69366
49;1044.2725821834;69366
50;1148.7023587694;69367
51;975.0985630397;69367
52;849.7509975628;69367
53;957.4683614060;69390
54;1077.2990193933;69389
55;919.4897470831;69389
56;879.7817728735;69389
57;671.9902590948;69389
58;728.1484050805;69392
59;897.1791916034;69391
60;1076.1450423354;69390
61;897.3992136105;69390
62;766.1498247373;69390
63;814.4761640684;69400
64;1001.8993004636;69399
65;933.9813244592;69399
66;774.4004701768;69399
67;661.9130207517;69399
68;746.0452664207;69405
69;626.7871032210;69405
70;666.3499231024;69406
71;708.2805142320;69405
72;790.3126825727;69404
73;1021.9183453793;69342
74;873.3320032137;69342
75;724.0407113323;69342
76;619.2488194591;69342
77;525.6336670846;69342
78;553.1724797282;69348
79;456.1865463361;69348
80;501.7791992945;69349
81;481.8033045908;69349
82;517.5740163931;69350
83;621.2211305335;69349
84;724.1222822328;69348
85;666.1923559883;69348
86;569.5904887338;69348
87;471.6304793811;69348
88;502.2186242783;69350
89;428.2454511089;69350
90;428.3004911842;69363
91;382.7799538911;69363
92;326.1475173570;69363
93;327.9411271432;69388
94;353.7428445795;69387
95;302.3648784627;69387
96;240.6611895452;69387
97;232.5568647846;69396
98;255.8016105090;69398
99;300.2102307717;69404
100;361.4024540103;69382
101;321.3514003377;69382
102;276.9673948102;69382
103;304.6508303562;69384
104;257.7448761603;69384
105;223.7500653550;69384
106;191.2800883897;69384
107;248.2537945183;69372
108;298.8326486935;69359
109;353.2243883981;69354
110;391.5459920453;69369
111;335.3497199065;69369
112;285.7929349271;69369
113;315.4635931023;69384
114;267.3832501478;69384
115;228.5917376341;69384
116;183.4386563507;69384
117;202.6833999399;69396
118;241.8941406307;69392
119;265.7778721490;69397
120;322.2745817240;69360
121;275.8287507724;69360
122;235.8286766822;69360
123;258.8125664432;69369
124;204.5240219045;69369
125;154.5138999815;69369
126;170.9544490452;69500
127;210.4672028060;69415
128;229.9413120419;69412
129;250.7284282708;69406
130;279.9122450217;69425
131;232.9783124189;69425
132;196.9692177673;69425
133;216.3938580034;69434
134;196.1907632381;69434
135;160.1413969841;69434
136;197.7797867446;69309
137;232.4201325718;69304
138;257.7001309420;69277
139;279.8203506366;69283
140;336.0774641371;69261
141;303.2810653508;69261
142;259.3196475167;69261
143;293.5402120095;69262
144;261.8435766790;69262
145;218.4876623138;69262
146;263.5069001888;69261
147;300.8460293175;69243
148;338.3446356459;69242
149;406.5323964769;69238
150;371.5304678262;69238
151;393.5548931575;69241
152;479.3791789969;69240
153;578.1590110738;69219
154;437.0849125870;69219
155;370.1712624113;69219
156;348.1650842198;69219
157;377.0073089588;69285
158;316.9347633667;69285
159;347.3655462513;69291
160;300.1639253440;69291
161;326.4970141547;69294
162;364.5785190934;69288
163;414.2614360018;69275
164;381.1709589014;69275
165;324.2007035866;69275
166;302.3598353340;69275
167;332.5982242608;69312
168;284.3829131772;69312
169;345.6740272285;69308
170;296.6191950105;69308
171;327.9402458811;69309
172;383.4406529848;69308
173;461.1259250259;69302
174;415.9642603190;69302
175;355.6487773211;69302
176;302.0475482302;69302
177;358.0643678775;69294
178;306.1450495023;69294
179;327.8672672121;69299
180;328.2447355509;69320
181;409.0620271506;69319
182;333.1255408904;69319
183;366.7046103361;69328
184;304.7434843294;69328
185;287.7146446361;69328
186;228.5733441608;69328
187;250.4154780231;69339
188;202.5942734707;69339
189;244.5702791704;69332
190;311.6199250048;69303
191;374.2207629319;69300
192;346.6272243488;69300
193;382.1716319163;69320
194;312.5775589320;69320
195;277.6426142852;69320
196;230.7836363729;69320
197;257.1824848530;69312
198;215.6822990234;69312
199;232.8898749019;69319
200;256.0509196349;69348
201;307.4257942075;69347
202;286.0892628058;69347
203;305.0524988265;69360
204;263.5091738677;69360
205;219.4714172245;69360
206;239.8635166721;69361
207;252.4018752944;69343
208;201.4081789060;69343
209;240.8123054347;69335
210;290.9126914849;69307
211;350.4580798714;69305
212;281.3447592160;69305
213;342.3842721638;69306
214;293.3760807744;69306
215;250.7928179247;69306
216;337.4055016954;69305
217;408.2466755747;69243
218;366.9491207061;69243
219;314.0242818558;69243
220;328.0954360337;69263
221;397.3888807286;69262
222;322.3345572452;69262
223;352.0254462017;69263
224;300.9963361995;69263
225;258.1287318606;69263
226;264.6614753344;69264
227;309.9346741380;69256
228;264.9941273889;69256
229;210.1438784120;69256
230;231.1393887974;69289
231;197.7295131654;69289
232;217.5337225915;69290
233;292.6688854689;69216
234;242.5544328806;69216
235;206.5634619242;69216
236;255.1629465854;69215
237;297.0866713939;69193
238;254.0225739217;69193
239;237.5505366357;69193
240;296.9944593919;69170
241;263.5521525095;69170
242;289.4735489521;69174
243;346.5236056687;69169
244;310.8115696782;69169
245;240.1294509584;69169
246;207.2023953385;69169
247;228.6687045796;69220
248;219.8235631918;69220
249;253.0214318154;69228
250;294.4350392689;69223
251;257.1862556592;69223
252;281.0988257478;69225
253;342.4222855773;69223
254;290.7947428199;69223
255;219.3751177621;69223
256;242.5355963068;69224
257;301.7729975149;69208
258;259.9015463992;69208
259;312.0632102998;69201
260;374.9456227986;69180
261;320.5669320965;69180
262;393.7421968114;69181
263;473.1399847798;69176
264;400.8041630625;69176
265;318.5611476525;69176
266;380.8727890750;69175
267;458.9123799306;69166
268;350.6872883261;69166
269;297.8871459589;69166
270;331.6544257860;69192
271;271.9577728216;69192
272;251.4401060843;69192
273;256.3619818676;69211
274;212.4685075360;69211
275;180.3981781978;69211
276;198.4374913536;69212
277;234.3499309813;69212
278;199.7065825418;69212
279;220.9841545024;69219
280;267.2157590136;69187
281;220.4006566652;69187
282;193.3944733717;69187
283;211.9968109598;69211
284;177.9975645292;69211
285;136.8475127716;69211
286;150.7614607380;69336
287;181.1942556944;69309
288;154.8745331827;69309
289;185.8162207961;69300
290;206.8671573467;69326
291;198.8283394961;69326
292;171.6844796376;69326
293;189.0768928550;69344
294;170.8691557519;69344
295;130.7124823191;69344
296;161.6020229334;69212
297;179.6247374903;69214
298;162.1763140664;69214
299;190.5661837119;69223
300;230.1873857207;69196
301;213.0811327716;69196
302;180.9596165657;69196
303;182.1692036097;69211
304;155.7565702223;69211
305;179.7199055834;69226
306;153.6172665873;69226
307;181.1288358680;69293
308;154.8659442620;69293
309;178.7311325375;69284
