Iterations;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Agent 6;Agent 7;Agent 8;Agent 9;Agent 10
28;451.9087753844415;471.0855512719816;611.5287637520507;608.6227788868483;828.6675775909621;182.7330376099183;208.30482122107546;832.2924934285455;183.7097765356295;412.6791807509336
29;744.928063959883;687.2902799440272;608.7611145902604;611.3762150662238;832.1548060492752;209.0987762457068;232.86382374687938;828.68043897422;209.84281191231707;437.87846677092324
30;345.3557747536067;323.31654454138925;611.793706146186;614.0851310906087;828.6081087737507;234.94749378356926;257.7620162569731;832.4634676429953;232.4506263646257;415.25383057862683
31;792.3457467983984;106.34430893213873;614.7248361659014;611.3342521609269;832.5439607606886;258.11550917931146;283.61351004062374;828.2390168605968;258.2828457629789;388.53523380005345
32;488.11877997848603;484.5524401843111;611.0007583808315;614.9307160975728;828.4950807685129;260.9908600811516;306.72344975854605;831.417152012993;261.3069201022578;363.2846332481756
33;678.4025673566508;651.3931762427112;614.6648097872976;610.7431017126502;831.2535544432399;285.21253910485376;333.94215316793037;828.1209511342491;284.89721037340274;340.4705265965127
34;133.3390400461666;436.2291253466708;611.1330377343696;614.6054833840097;827.9167146881833;308.6550647223502;306.87721732285775;825.153679187878;309.06173799059286;316.4602225541615
35;709.746147384838;680.7743553510219;614.7103334848684;611.3219944667973;825.1405948711595;311.82159152871907;309.8996793975196;828.4387403447643;305.92796110043577;308.77353870948946
36;418.91987288386775;436.68399617704216;611.1441813854309;614.6678885927216;828.6829043119968;308.5522932745697;306.77752823265104;825.1999889806526;308.7319033583175;311.7769615442771
37;777.0346137549874;154.96416133830976;614.5732011882928;611.3191101405741;825.3232740957164;311.27362787745534;309.69841492794444;828.5753924815822;305.71166930742817;308.5566754833028
38;481.27819026061775;425.1119309535986;611.5524205051996;614.4260280579447;828.5317905143245;308.02906810183947;306.5352104619522;825.2708709371212;308.5909464143204;311.8106378489591
39;155.74163789056416;653.083046724742;614.620792416486;611.24177929609;825.3002817445298;311.2658650654819;309.3754656511684;828.3544373951064;305.8885921372799;308.34539100484164
40;476.9458352159595;430.7803299431328;611.3639868012725;614.4093372175549;828.4139479211963;337.64264515237375;312.2991966718665;825.0933270533219;310.9618519474449;311.22025974954755
41;660.337378256269;712.3368944902862;614.6349670446823;611.4103479312213;824.9108966343908;364.50520275502254;337.9379009606304;828.6790149682283;334.5703196127;334.60114277799306
42;531.1486371214664;481.865040982525;611.5989117649415;614.4630368240257;828.4499500950467;387.5268068209214;364.596063251662;824.9790778659959;359.79429687050435;358.73232440666703
43;660.4131133409492;725.3050153623911;614.4242459326633;611.7567192705119;825.1815514091376;414.02994732881336;387.880469409521;827.754037037508;384.6426366711726;384.56919015759655
44;175.59307663725278;500.31501470757445;611.1985714333172;614.9426211489641;827.977787306985;439.37605286480766;411.1035073054064;830.5988200277494;410.41074020613917;411.38336160498926
45;322.0155788832761;706.3592793738637;408.21561203143057;410.41074020613917;415.819057240718;437.2656728695166;611.4262932146632;615.2967836574055;827.8109493214589;830.8164404371502
46;496.63993903369965;567.9107003315454;611.6539339904737;615.4719386411198;827.8841699507853;410.16520651978306;411.35844796537174;830.7275004053796;417.5450741224394;411.50815141693164
47;760.7068437588871;767.4763386456715;615.2239649735448;611.9258760765664;831.1061222213012;413.3779307649026;414.09630085075474;827.7876624183283;411.77893488318347;408.73117749919464
48;491.63344060498287;206.8727763418573;612.4302515490181;615.1318350299478;827.496217966976;416.13411684598196;411.21287803499655;831.056886497224;414.6959523550078;413.7572483251393
49;652.291072882671;719.5893492852674;615.2127225565979;612.1067313597563;830.8630664642026;441.23956265356554;435.45669849035016;828.010474947593;433.47542832952973;432.3924864352812
50;503.5029146955362;231.44196109921484;612.228862395112;615.4761306009518;827.8285587219767;434.9917624265599;441.0114455446776;830.7303834812403;436.2257596300407;435.3416598376647
51;432.3243438099361;510.09234276362486;434.9917624265599;435.93186241733684;437.79993819343247;636.4441231542371;638.3919717861379;763.2723934119406;824.7586016818167;827.6765626845053
52;221.654713010622;307.042428554274;639.252419683015;635.3380763313846;827.9066413523668;434.8879740210972;433.0743133448082;824.6173737368734;435.993876406179;435.5754895441935
53;553.9978108877489;530.4492911731272;635.2375308723188;639.587708819946;824.8296394284972;438.0208926259896;436.0289300201617;828.197568318056;433.23902312074534;438.38558358514354
54;687.9708482288463;739.0322314305658;639.6635702522301;634.9015051148546;828.3941273494942;441.16028505222243;438.7699908145245;824.5611233954476;436.1663513498989;435.1020814978025
55;506.09410332059315;572.1730092620483;634.7712490501087;639.8993244894375;824.1855959484429;438.1129189091224;441.83091212618245;828.5141238608603;433.0783211179273;438.0122912423003
